filename,content,python
022.evy,"// Filter given list of any values for num
// filterInts [""a"", 3.14, 5] // [5]
// filterInts [1, 2, 3, ""abc"", {}, []] // [1, 2, 3]
func filterInts:[]num values:[]any
    result:[]num
    for a := range values
        if (typeof a) == ""num""
            n := a.(num)
            if n == (round n)
                result = result + [n]
            end
        end
    end
    return result
end

func testall
    test [] (filterInts [])
    test [4 9] (filterInts [4 {} [] 23.2 9 ""adasd""])
    test [3 3 3] (filterInts [3 ""c"" 3 3 ""a"" ""b""])
end

// Test boilerplate
fails := 0
total := 0

func test want:any got:any
    total = total + 1
    if want == got
        return
    end
    wantType := (typeof want)[:2]
    gotType := (typeof got)[:2]
    if (wantType == ""[]"" or wantType == ""{}"") and wantType == gotType and (len want) == 0 and (len got) == 0
        return
    end
    fails = fails + 1
    printf ""want != got:\n want: %v\n got:  %v\n"" want got
end

func printResult
    printf ""%2.f of %2.f tests passed\n"" (total - fails) total
end

testall
printResult

",
036.evy,"// Return the number of times the digit 7 appears in integers less than n
// which are divisible by 11 or 13.
// fizzBuzz 50 // 0
// fizzBuzz 78 // 2
// fizzBuzz 79 // 3
func fizzBuzz:num n:num
    str:string
    for i := range n
        if i % 11 == 0 or i % 13 == 0
            str = str + (sprint i)
        end
    end
    result := 0
    for ch := range str
        if ch == ""7""
            result = result + 1
        end
    end
    return result
end

func testall
    test 0 (fizzBuzz 50)
    test 2 (fizzBuzz 78)
    test 3 (fizzBuzz 79)
    test 3 (fizzBuzz 100)
    test 6 (fizzBuzz 200)
    test 192 (fizzBuzz 4000)
    test 639 (fizzBuzz 10000)
    test 8026 (fizzBuzz 100000)
end

// Test boilerplate
fails := 0
total := 0

func test want:any got:any
    total = total + 1
    if want == got
        return
    end
    wantType := (typeof want)[:2]
    gotType := (typeof got)[:2]
    if (wantType == ""[]"" or wantType == ""{}"") and wantType == gotType and (len want) == 0 and (len got) == 0
        return
    end
    fails = fails + 1
    printf ""want != got:\n want: %v\n got:  %v\n"" want got
end

func printResult
    printf ""%2.f of %2.f tests passed\n"" (total - fails) total
end

testall
printResult

",
037.evy,"// This function takes an array l and returns an array l' such that
//  l' is identical to l in the odd indices, while its values at the even indices are equal
//  to the values of the even indices of l, but sorted.
//
//  sortEven [1 2 3] // [1 2 3]
//  sortEven [5 6 3 4] // [3 6 5 4]
func sortEven:[]num nums:[]num
    even:[]num
    for i := range 0 (len nums) 2
        even = even + [nums[i]]
    end
    sort even
    result := [0] * (len nums)

    for i := range (len nums)
        if i % 2 == 0
            result[i] = even[i / 2]
        else
            result[i] = nums[i]
        end
    end
    return result
end

func sort arr:[]num
    // bubble sort
    for endIdx := range (len arr)-1 0 -1
        for i := range endIdx
            if arr[i] > arr[i + 1]
                tmp := arr[i]
                arr[i] = arr[i + 1]
                arr[i + 1] = tmp
            end
        end
    end
end

func testall
    test [1 2 3] (sortEven [1 2 3])
    test [-10 3 -5 2 -3 3 5 0 9 1 123] (sortEven [5 3 -5 2 -3 3 9 0 123 1 -10])
    test [-12 8 3 4 5 2 12 11 23 -10] (sortEven [5 8 -12 4 23 2 3 11 12 -10])
end

// Test boilerplate
fails := 0
total := 0

func test want:any got:any
    total = total + 1
    if want == got
        return
    end
    wantType := (typeof want)[:2]
    gotType := (typeof got)[:2]
    if (wantType == ""[]"" or wantType == ""{}"") and wantType == gotType and (len want) == 0 and (len got) == 0
        return
    end
    fails = fails + 1
    printf ""want != got:\n want: %v\n got:  %v\n"" want got
end

func printResult
    printf ""%2.f of %2.f tests passed\n"" (total - fails) total
end

testall
printResult

",
023.evy,"// Return length of given string
// strlen """" // 0
// strlen ""abc"" // 3
func strlen:num str:string
    return len str
end

func testall
    test 0 (strlen """")
    test 1 (strlen ""x"")
    test 9 (strlen ""asdasnakj"")
end

// Test boilerplate
fails := 0
total := 0

func test want:any got:any
    total = total + 1
    if want == got
        return
    end
    wantType := (typeof want)[:2]
    gotType := (typeof got)[:2]
    if (wantType == ""[]"" or wantType == ""{}"") and wantType == gotType and (len want) == 0 and (len got) == 0
        return
    end
    fails = fails + 1
    printf ""want != got:\n want: %v\n got:  %v\n"" want got
end

func printResult
    printf ""%2.f of %2.f tests passed\n"" (total - fails) total
end

testall
printResult

",
027.evy,"// For a given string, flip lowercase characters to uppercase and uppercase to lowercase.
// flipCase ""Hello"" // ""hELLO""
func flipCase:string str:string
    result:string
    for i := range (len str)
        ch := str[i]
        if ""a"" <= ch
            result = result + (upper ch)
        else
            result = result + (lower ch)
        end

    end
    return result
end

func testall
    test """" (flipCase """")
    test ""hELLO!"" (flipCase ""Hello!"")
    test ""tHESE VIOLENT DELIGHTS HAVE VIOLENT ENDS"" (flipCase ""These violent delights have violent ends"")
end

// Test boilerplate
fails := 0
total := 0

func test want:any got:any
    total = total + 1
    if want == got
        return
    end
    wantType := (typeof want)[:2]
    gotType := (typeof got)[:2]
    if (wantType == ""[]"" or wantType == ""{}"") and wantType == gotType and (len want) == 0 and (len got) == 0
        return
    end
    fails = fails + 1
    printf ""want != got:\n want: %v\n got:  %v\n"" want got
end

func printResult
    printf ""%2.f of %2.f tests passed\n"" (total - fails) total
end

testall
printResult

",
033.evy,"// This function takes an array l and returns an array l' such that l' is
// identical to l in the indices that are not divisible by three, while its
// values at the indices that are divisible by three are equal to the
// values of the corresponding indices of l, but sorted.
// sort_third [1 2 3] // [1 2 3]
// sort_third [5 6 3 4 8 9 2] // [2 6 3 4 8 9 5]
func sort_third:[]num nums:[]num
    div3:[]num
    for i := range 0 (len nums) 3
        div3 = div3 + [nums[i]]
    end
    sort div3
    result := [0] * (len nums)

    for i := range (len nums)
        if i % 3 == 0
            result[i] = div3[i / 3]
        else
            result[i] = nums[i]
        end
    end
    return result
end

func sort arr:[]num
    // bubble sort
    for endIdx := range (len arr)-1 0 -1
        for i := range endIdx
            if arr[i] > arr[i + 1]
                tmp := arr[i]
                arr[i] = arr[i + 1]
                arr[i + 1] = tmp
            end
        end
    end
end

func testall
    test [1 2 3] (sort_third [1 2 3])
    test [1 3 -5 2 -3 3 5 0 123 9 -10] (sort_third [5 3 -5 2 -3 3 9 0 123 1 -10])
    test [-10 8 -12 3 23 2 4 11 12 5] (sort_third [5 8 -12 4 23 2 3 11 12 -10])
    test [2 6 3 4 8 9 5] (sort_third [5 6 3 4 8 9 2])
    test [2 8 3 4 6 9 5] (sort_third [5 8 3 4 6 9 2])
    test [2 6 9 4 8 3 5] (sort_third [5 6 9 4 8 3 2])
    test [2 6 3 4 8 9 5 1] (sort_third [5 6 3 4 8 9 2 1])
end

// Test boilerplate
fails := 0
total := 0

func test want:any got:any
    total = total + 1
    if want == got
        return
    end
    wantType := (typeof want)[:2]
    gotType := (typeof got)[:2]
    if (wantType == ""[]"" or wantType == ""{}"") and wantType == gotType and (len want) == 0 and (len got) == 0
        return
    end
    fails = fails + 1
    printf ""want != got:\n want: %v\n got:  %v\n"" want got
end

func printResult
    printf ""%2.f of %2.f tests passed\n"" (total - fails) total
end

testall
printResult

",
026.evy,"//  From an array of integers, remove all elements that occur more than once.
//  Keep order of elements left the same as in the input.
//  removeDuplicates [1, 2, 3, 2, 4] //  [1, 3, 4]
func removeDuplicates:[]num nums:[]num
    seen:{}bool
    dups:{}bool
    result:[]num
    for n := range nums
        ns := sprint n
        if has seen ns
            dups[ns] = true
        end
        seen[ns] = true
    end
    for n := range nums
        ns := sprint n
        if !(has dups ns)
            result = result + [n]
        end
    end
    return result
end

func testall
    test [] (removeDuplicates [])
    test [1 2 3 4] (removeDuplicates [1 2 3 4])
    test [1 4 5] (removeDuplicates [1 2 3 2 4 3 5])
end

// Test boilerplate
fails := 0
total := 0

func test want:any got:any
    total = total + 1
    if want == got
        return
    end
    wantType := (typeof want)[:2]
    gotType := (typeof got)[:2]
    if (wantType == ""[]"" or wantType == ""{}"") and wantType == gotType and (len want) == 0 and (len got) == 0
        return
    end
    fails = fails + 1
    printf ""want != got:\n want: %v\n got:  %v\n"" want got
end

func printResult
    printf ""%2.f of %2.f tests passed\n"" (total - fails) total
end

testall
printResult

",
018.evy,"// Find how many times a given substring can be found in the original string.
// Count overlapping cases.
// findTimes "" """" // 0
// findTimes ""aa"" """" // 3
// findTimes ""aaa"" ""a"" // 3
func findTimes:num str:string sub:string
    times := 0
    rend := (len str) - (len sub) + 1
    for i := range rend
        if str[i:i + (len sub)] == sub
            times = times + 1
        end
    end
    return times
end

func testall
    test 0 (findTimes """" ""x"")
    test 4 (findTimes ""xyxyxyx"" ""x"")
    test 4 (findTimes ""cacacacac"" ""cac"")
    test 1 (findTimes ""john doe"" ""john"")
end

// Test boilerplate
fails := 0
total := 0

func test want:any got:any
    total = total + 1
    if want == got
        return
    end
    wantType := (typeof want)[:2]
    gotType := (typeof got)[:2]
    if (wantType == ""[]"" or wantType == ""{}"") and wantType == gotType and (len want) == 0 and (len got) == 0
        return
    end
    fails = fails + 1
    printf ""want != got:\n want: %v\n got:  %v\n"" want got
end

func printResult
    printf ""%2.f of %2.f tests passed\n"" (total - fails) total
end

testall
printResult

",
030.evy,"// Return only positive numbers in the list.
// getPositive [-1 2 -4 5 6] // [2, 5, 6]
// getPositive [5 3 -5 2 -3 3 9 0 123 1 -10] // [5 3 2 3 9 123 1]
func getPositive:[]num nums:[]num
    result:[]num
    for n := range nums
        if n > 0
            result = result + [n]
        end
    end
    return result
end

func testall
    test [4 5 6] (getPositive [-1 -2 4 5 6])
    test [5 3 2 3 3 9 123 1] (getPositive [5 3 -5 2 3 3 9 0 123 1 -10])
    test [] (getPositive [-1 -2])
    test [] (getPositive [])
end

// Test boilerplate
fails := 0
total := 0

func test want:any got:any
    total = total + 1
    if want == got
        return
    end
    wantType := (typeof want)[:2]
    gotType := (typeof got)[:2]
    if (wantType == ""[]"" or wantType == ""{}"") and wantType == gotType and (len want) == 0 and (len got) == 0
        return
    end
    fails = fails + 1
    printf ""want != got:\n want: %v\n got:  %v\n"" want got
end

func printResult
    printf ""%2.f of %2.f tests passed\n"" (total - fails) total
end

testall
printResult

",
024.evy,"// For a given number n, find the largest number that divides n evenly, smaller than n
// largestDivisor(15) // 5
func largestDivisor:num n:num
    for i := range n-1 0 -1
        if n % i == 0
            return i
        end
    end
    return -1
end

func testall
    test 1 (largestDivisor 3)
    test 1 (largestDivisor 7)
    test 5 (largestDivisor 10)
    test 50 (largestDivisor 100)
    test 7 (largestDivisor 49)
end

// Test boilerplate
fails := 0
total := 0

func test want:any got:any
    total = total + 1
    if want == got
        return
    end
    wantType := (typeof want)[:2]
    gotType := (typeof got)[:2]
    if (wantType == ""[]"" or wantType == ""{}"") and wantType == gotType and (len want) == 0 and (len got) == 0
        return
    end
    fails = fails + 1
    printf ""want != got:\n want: %v\n got:  %v\n"" want got
end

func printResult
    printf ""%2.f of %2.f tests passed\n"" (total - fails) total
end

testall
printResult

",
025.evy,"// Return list of prime factors of given integer in the order from smallest to
// largest. Each of the factors should be listed number of times
// corresponding to how many times it appears in factorization. Input number
// should be equal to the product of all factors
// factorize 8 // [2, 2, 2]
// factorize 25 // [5, 5]
// factorize 70 // [2, 5, 7]
func factorize:[]num n:num
    result:[]num
    i := 2
    while i <= (sqrt n) + 1
        if n % i == 0
            result = result + [i]
            n = n / i
        else
            i = i + 1
        end
    end
    if n > 1
        result = result + [n]
    end
    return result
end

func testall
    test [2] (factorize 2)
    test [2 2] (factorize 4)
    test [2 2 2] (factorize 8)
    test [3 19] (factorize 3*19)
    test [3 3 19 19] (factorize 3*19*3*19)
    test [3 3 3 19 19 19] (factorize 3*19*3*19*3*19)
    test [3 19 19 19] (factorize 3*19*19*19)
    test [2 3 3] (factorize 3*2*3)
end

// Test boilerplate
fails := 0
total := 0

func test want:any got:any
    total = total + 1
    if want == got
        return
    end
    wantType := (typeof want)[:2]
    gotType := (typeof got)[:2]
    if (wantType == ""[]"" or wantType == ""{}"") and wantType == gotType and (len want) == 0 and (len got) == 0
        return
    end
    fails = fails + 1
    printf ""want != got:\n want: %v\n got:  %v\n"" want got
end

func printResult
    printf ""%2.f of %2.f tests passed\n"" (total - fails) total
end

testall
printResult

",
031.evy,"// Return true if a given number is prime, and false otherwise.
// isPrime 6 // false
// isPrime 101 // true
// isPrime 11 // true
// isPrime 13441 // true
// isPrime 61 // true
// isPrime 4 // false
// isPrime 1 // false
func isPrime:bool n:num
    if n < 2
        return false
    end
    for k := range 2 (sqrt n)+1
        if n % k == 0
            return false
        end
    end
    return true
end

func testall
    test false (isPrime 6)
    test true (isPrime 101)
    test true (isPrime 11)
    test true (isPrime 13441)
    test true (isPrime 61)
    test false (isPrime 4)
    test false (isPrime 1)
    test true (isPrime 5)
    test true (isPrime 11)
    test true (isPrime 17)
    test false (isPrime 5*17)
    test false (isPrime 11*7)
    test false (isPrime 13441*19)
end

// Test boilerplate
fails := 0
total := 0

func test want:any got:any
    total = total + 1
    if want == got
        return
    end
    wantType := (typeof want)[:2]
    gotType := (typeof got)[:2]
    if (wantType == ""[]"" or wantType == ""{}"") and wantType == gotType and (len want) == 0 and (len got) == 0
        return
    end
    fails = fails + 1
    printf ""want != got:\n want: %v\n got:  %v\n"" want got
end

func printResult
    printf ""%2.f of %2.f tests passed\n"" (total - fails) total
end

testall
printResult

",
019.evy,"// Input is a space-delimited string of numerals from ""zero"" to ""nine"".
// Valid choices are ""zero"", ""one"", ""two"", ""three"", ""four"", ""five"", ""six"", ""seven"", ""eight"" and ""nine"".
// Return the string with numbers sorted from smallest to largest
// sortNumbers ""three one five"" // ""one three five""
func sortNumbers:string numbers:string
    map := {zero:0 one:1 two:2 three:3 four:4 five:5 six:6 seven:7 eight:8 nine:9}
    arr := split numbers "" ""
    // bubble sort
    for endIdx := range (len arr)-1 0 -1
        for i := range endIdx
            if map[arr[i]] > map[arr[i + 1]]
                tmp := arr[i]
                arr[i] = arr[i + 1]
                arr[i + 1] = tmp
            end
        end
    end
    return join arr "" ""
end

func testall
    test """" (sortNumbers """")
    test ""three"" (sortNumbers ""three"")
    test ""three five nine"" (sortNumbers ""three five nine"")
    test ""zero four five seven eight nine"" (sortNumbers ""five zero four seven nine eight"")
    test ""zero one two three four five six"" (sortNumbers ""six five four three two one zero"")
end

// Test boilerplate
fails := 0
total := 0

func test want:any got:any
    total = total + 1
    if want == got
        return
    end
    wantType := (typeof want)[:2]
    gotType := (typeof got)[:2]
    if (wantType == ""[]"" or wantType == ""{}"") and wantType == gotType and (len want) == 0 and (len got) == 0
        return
    end
    fails = fails + 1
    printf ""want != got:\n want: %v\n got:  %v\n"" want got
end

func printResult
    printf ""%2.f of %2.f tests passed\n"" (total - fails) total
end

testall
printResult

",
095.evy,"// Given a dictionary, return true if all keys are strings in lower
// case or all keys are strings in upper case, else return false.
// The function should return false if the given dictionary is empty.
// sameCaseKey {""a"":""apple"", ""b"":""banana""} // true
// sameCaseKey {""a"":""apple"", ""A"":""banana"", ""B"":""banana""} // false
// sameCaseKey {""a"":""apple"", 8:""banana"", ""a"":""apple""} // false
// sameCaseKey {""Name"":""John"", ""Age"":""36"", ""City"":""Houston""} // false
// sameCaseKey {""STATE"":""NC"", ""ZIP"":""12345"" } // true
func sameCaseKey:bool m:{}string
    up := false
    low := false
    for key := range m
        lkey := lower key
        ukey := upper key
        if key == lkey and key != ukey
            low = true
        else if key == ukey and key != lkey
            up = true
        else
            return false // no letters in key
        end
    end
    return up != low
end

func testall
    test true (sameCaseKey {p:""pineapple"" b:""banana""})
    test false (sameCaseKey {p:""pineapple"" A:""banana"" B:""banana""})
    test false (sameCaseKey {p:""pineapple"" _:""banana"" a:""apple""})
    test false (sameCaseKey {Name:""John"" Age:""36"" City:""Houston""})
    test true (sameCaseKey {STATE:""NC"" ZIP:""12345""})
    test true (sameCaseKey {fruit:""Orange"" taste:""Sweet""})
end

// Test boilerplate
fails := 0
total := 0

func test want:any got:any
    total = total + 1
    if want == got
        return
    end
    wantType := (typeof want)[:2]
    gotType := (typeof got)[:2]
    if wantType == ""[]"" or wantType == ""{}"" and wantType == gotType and (len want) == 0 and (len got) == 0
        return
    end
    fails = fails + 1
    printf ""want != got:\n want: %v\n got:  %v\n"" want got
end

func printResult
    printf ""%2.f of %2.f tests passed\n"" (total - fails) total
end

testall
printResult
",
081.evy,"//  It is the last week of the semester and the teacher has to give the grades
//  to students. The teacher has been making her own algorithm for grading.
//  The only problem is, she has lost the code she used for grading.
//  She has given you an array of GPAs for some students and you have to write
//  a function that can output an array of letter grades using the following table:
//           GPA       |    Letter grade
//            4.0                A+
//          > 3.7                A
//          > 3.3                A-
//          > 3.0                B+
//          > 2.7                B
//          > 2.3                B-
//          > 2.0                C+
//          > 1.7                C
//          > 1.3                C-
//          > 1.0                D+
//          > 0.7                D
//          > 0.0                D-
//            0.0                E
//  Example:
//  grade_equation [4.0, 3, 1.7, 2, 3.5]  ==> [""A+"", ""B"", ""C-"", ""C"", ""A-""]
func grades:[]string gpas:[]num
    result:[]string
    for gpa := range gpas
        result = result + [(grade gpa)]
    end
    return result
end

func grade:string gpa:num
    if gpa == 4
        return ""A+""
    else if gpa > 3.7
        return ""A""
    else if gpa > 3.3
        return ""A-""
    else if gpa > 3
        return ""B+""
    else if gpa > 2.7
        return ""B""
    else if gpa > 2.3
        return ""B-""
    else if gpa > 2
        return ""C+""
    else if gpa > 1.7
        return ""C""
    else if gpa > 1.3
        return ""C-""
    else if gpa > 1
        return ""D+""
    else if gpa > 0.7
        return ""D""
    else if gpa > 0
        return ""D-""
    else if gpa == 0
        return ""E""
    end
    return sprint ""invalid gpa"" gpa
end

func testall
    test [""A+"" ""B"" ""C-"" ""C"" ""A-""] (grades [4 3 1.7 2 3.5])
    test [""D+""] (grades [1.2])
    test [""D-""] (grades [0.5])
    test [""E""] (grades [0])
    test [""D"" ""D-"" ""C-"" ""B"" ""B+""] (grades [1 0.3 1.5 2.8 3.3])
    test [""E"" ""D-""] (grades [0 0.7])
end

// Test boilerplate
fails := 0
total := 0

func test want:any got:any
    total = total + 1
    if want == got
        return
    end
    wantType := (typeof want)[:2]
    gotType := (typeof got)[:2]
    if wantType == ""[]"" or wantType == ""{}"" and wantType == gotType and (len want) == 0 and (len got) == 0
        return
    end
    fails = fails + 1
    printf ""want != got:\n want: %v\n got:  %v\n"" want got
end

func printResult
    printf ""%2.f of %2.f tests passed\n"" (total - fails) total
end

testall
printResult
",
056.evy,"// brackets is a string of ""<"" and "">"". return true if every opening bracket
// has a corresponding closing bracket.
//
// correctBracketing ""<"" // false
// correctBracketing ""<>"" // true
// correctBracketing ""<<><>>"" // true
// correctBracketing ""><<>"" // false
func checkBrackets:bool str:string
    depth := 0
    for ch := range str
        if ch == ""<""
            depth = depth + 1
        else
            depth = depth - 1
        end
        if depth < 0
            return false
        end
    end
    return depth == 0
end

func testall
    test true (checkBrackets """")
    test true (checkBrackets ""<>"")
    test true (checkBrackets ""<<><>>"")
    test true (checkBrackets ""<><><<><>><>"")
    test true (checkBrackets ""<><><<<><><>><>><<><><<>>>"")
    test false (checkBrackets ""<<<><>>>>"")
    test false (checkBrackets ""><<>"")
    test false (checkBrackets ""<"")
    test false (checkBrackets ""<<<<"")
    test false (checkBrackets "">"")
    test false (checkBrackets ""<<>"")
    test false (checkBrackets ""<><><<><>><>><<>"")
    test false (checkBrackets ""<><><<><>><>>><>"")
end

// Test boilerplate
fails := 0
total := 0

func test want:any got:any
    total = total + 1
    if want == got
        return
    end
    wantType := (typeof want)[:2]
    gotType := (typeof got)[:2]
    if (wantType == ""[]"" or wantType == ""{}"") and wantType == gotType and (len want) == 0 and (len got) == 0
        return
    end
    fails = fails + 1
    printf ""want != got:\n want: %v\n got:  %v\n"" want got
end

func printResult
    printf ""%2.f of %2.f tests passed\n"" (total - fails) total
end

testall
printResult
",
042.evy,"//""Return list with elements incremented by 1.
// inc [1 2 3] // [2 3 4]
// inc [5 3 5 2 3 3 9 0 123] // [6 4 6 3 4 4 10 1 124]
func inc:[]num nums:[]num
    result := nums[:]
    for i := range (len result)
        result[i] = result[i] + 1
    end
    return result
end

func testall
    test [] (inc [])
    test [4 3 2] (inc [3 2 1])
    test [6 3 6 3 4 4 10 1 124] (inc [5 2 5 2 3 3 9 0 123])
end

// Test boilerplate
fails := 0
total := 0

func test want:any got:any
    total = total + 1
    if want == got
        return
    end
    wantType := (typeof want)[:2]
    gotType := (typeof got)[:2]
    if (wantType == ""[]"" or wantType == ""{}"") and wantType == gotType and (len want) == 0 and (len got) == 0
        return
    end
    fails = fails + 1
    printf ""want != got:\n want: %v\n got:  %v\n"" want got
end

func printResult
    printf ""%2.f of %2.f tests passed\n"" (total - fails) total
end

testall
printResult
",
043.evy,"// sumZero takes an array of integers as an input.
// it returns True if there are two distinct elements in the list that
// sum to zero, and False otherwise.
// sumZero [1 3 5 0] // false
// sumZero [1 3 -2 1] // false
// sumZero [1 2 3 7] // false
// sumZero [2 4 -5 3 5 7] // true
// sumZero [1] // false
func sumZero:bool nums:[]num
    length := len nums
    for i := range length
        for j := range i+1 length
            if nums[i] + nums[j] == 0
                return true
            end
        end
    end
    return false
end

func testall
    test false (sumZero [1 3 5 0])
    test false (sumZero [1 3 -2 1])
    test false (sumZero [1 2 3 7])
    test true (sumZero [2 4 -5 3 5 7])
    test false (sumZero [1])
    test true (sumZero [-3 9 -1 3 2 30])
    test true (sumZero [-3 9 -1 3 2 31])
    test false (sumZero [-3 9 -1 4 2 30])
    test false (sumZero [-3 9 -1 4 2 31])
end

// Test boilerplate
fails := 0
total := 0

func test want:any got:any
    total = total + 1
    if want == got
        return
    end
    wantType := (typeof want)[:2]
    gotType := (typeof got)[:2]
    if (wantType == ""[]"" or wantType == ""{}"") and wantType == gotType and (len want) == 0 and (len got) == 0
        return
    end
    fails = fails + 1
    printf ""want != got:\n want: %v\n got:  %v\n"" want got
end

func printResult
    printf ""%2.f of %2.f tests passed\n"" (total - fails) total
end

testall
printResult
",
057.evy,"// Return true if list elements are monotonically increasing or decreasing.
// monotonic([1, 2, 4, 20]) // true
// monotonic([1, 20, 4, 10]) // false
// monotonic([4, 1, 0, -10]) // true
func monotonic:bool nums:[]num
    numsInc := nums[:]
    numsDec := nums[:]
    sort numsInc true
    sort numsDec false
    return nums == numsInc or nums == numsDec
end

func sort arr:[]num inc:bool
    // bubble sort
    for endIdx := range (len arr)-1 0 -1
        for i := range endIdx
            if (inc and arr[i] > arr[i + 1]) or (!inc and arr[i] < arr[i + 1])
                tmp := arr[i]
                arr[i] = arr[i + 1]
                arr[i + 1] = tmp
            end
        end
    end
end

func testall
    test true (monotonic [1 2 4 10])
    test true (monotonic [1 2 4 20])
    test false (monotonic [1 20 4 10])
    test true (monotonic [4 1 0 -10])
    test true (monotonic [4 1 1 0])
    test false (monotonic [1 2 3 2 5 60])
    test true (monotonic [1 2 3 4 5 60])
    test true (monotonic [9 9 9 9])
end

// Test boilerplate
fails := 0
total := 0

func test want:any got:any
    total = total + 1
    if want == got
        return
    end
    wantType := (typeof want)[:2]
    gotType := (typeof got)[:2]
    if (wantType == ""[]"" or wantType == ""{}"") and wantType == gotType and (len want) == 0 and (len got) == 0
        return
    end
    fails = fails + 1
    printf ""want != got:\n want: %v\n got:  %v\n"" want got
end

func printResult
    printf ""%2.f of %2.f tests passed\n"" (total - fails) total
end

testall
printResult
",
080.evy,"//  You are given a string s. Your task is to check if the string is happy or
//  not. A string is happy if its length is at least 3 and every 3
//  consecutive letters are distinct
//
//  For example:
//  happy ""a"" // false
//  happy ""aa"" // false
//  happy ""abcd"" // true
//  happy ""aabb"" // false
//  happy ""adb"" // true
//  happy ""xyy"" // false
func happy:bool s:string
    length := len s
    if length < 3
        return false
    end
    for i := range length-2
        if s[i] == s[i + 1] or s[i] == s[i + 2] or s[i + 1] == s[i + 2]
            return false
        end
    end
    return true
end

func testall
    test false (happy ""a"")
    test false (happy ""aa"")
    test true (happy ""abcd"")
    test false (happy ""aabb"")
    test true (happy ""adb"")
    test false (happy ""xyy"")
    test true (happy ""iopaxpoi"")
    test false (happy ""iopaxioi"")
end

// Test boilerplate
fails := 0
total := 0

func test want:any got:any
    total = total + 1
    if want == got
        return
    end
    wantType := (typeof want)[:2]
    gotType := (typeof got)[:2]
    if wantType == ""[]"" or wantType == ""{}"" and wantType == gotType and (len want) == 0 and (len got) == 0
        return
    end
    fails = fails + 1
    printf ""want != got:\n want: %v\n got:  %v\n"" want got
end

func printResult
    printf ""%2.f of %2.f tests passed\n"" (total - fails) total
end

testall
printResult
",
094.evy,"// Given an array of integers find the largest prime value and return the sum
// of its digits.
// largestPrimeSumOfDigits [0 3 2 1 3 5 7 4 5 5 5 2 181 32 4 32 3 2 32 324 4 3] // 10
// largestPrimeSumOfDigits [1 0 1 8 2 4597 2 1 3 40 1 2 1 2 4 2 5 1] // 25
// largestPrimeSumOfDigits [1 3 1 32 5107 34 83278 109 163 23 2323 32 30 1 9 3] // 13
// largestPrimeSumOfDigits [0 724 32 71 99 32 6 0 5 91 83 0 5 6] // 11
// largestPrimeSumOfDigits [0 81 12 3 1 21] // 3
// largestPrimeSumOfDigits [0 8 1 2 1 7] // 7
func largestPrimeSumOfDigits:num nums:[]num
    largest := 0
    for n := range nums
        if (isPrime n) and n > largest
            largest = n
        end
    end
    return sumOfDigits largest
end

func isPrime:bool n:num
    if n < 2
        return false
    end
    for i := range 2 n
        if n % i == 0
            return false
        end
    end
    return true
end

func sumOfDigits:num n:num
    result := 0
    while n > 0
        result = result + n % 10
        n = floor n/10
    end
    return result
end

func testall
    test 10 (largestPrimeSumOfDigits [0 3 2 1 3 5 7 4 5 5 5 2 181 32 4 32 3 2 32 324 4 3])
    test 25 (largestPrimeSumOfDigits [1 0 1 8 2 4597 2 1 3 40 1 2 1 2 4 2 5 1])
    test 13 (largestPrimeSumOfDigits [1 3 1 32 5107 34 83278 109 163 23 2323 32 30 1 9 3])
    test 11 (largestPrimeSumOfDigits [0 724 32 71 99 32 6 0 5 91 83 0 5 6])
    test 3 (largestPrimeSumOfDigits [0 81 12 3 1 21])
    test 7 (largestPrimeSumOfDigits [0 8 1 2 1 7])
end

// Test boilerplate
fails := 0
total := 0

func test want:any got:any
    total = total + 1
    if want == got
        return
    end
    wantType := (typeof want)[:2]
    gotType := (typeof got)[:2]
    if wantType == ""[]"" or wantType == ""{}"" and wantType == gotType and (len want) == 0 and (len got) == 0
        return
    end
    fails = fails + 1
    printf ""want != got:\n want: %v\n got:  %v\n"" want got
end

func printResult
    printf ""%2.f of %2.f tests passed\n"" (total - fails) total
end

testall
printResult
",
