input-text,id,output-text,input-evy,input-python,output-evy
,HumanEval_65,,"// Circular shift the digits of the integer x, shift the digits right by shift
// and return the result as a string.
// If shift > number of digits, return digits reversed.
// shift 12 1 // ""21""
// shift 12 2 // ""12""
func shift:string x:num n:num
    str := sprint x
    result := """"
    if n > (len str)
        for c := range str
            result = c + result
        end
    else
        result = str[-n:] + str[:-n]
    end
    return result
end

func test
    assert ""1"" (shift 1 1)
    assert ""1"" (shift 1 3)
    assert ""0111"" (shift 1110 30)
    assert ""001"" (shift 100 2)
    assert ""12"" (shift 12 2)
    assert ""79"" (shift 97 8)
    assert ""21"" (shift 12 1)
    assert ""11"" (shift 11 101)
end

test
","#START:PROMPT

def circular_shift(x, shift):
    """"""Circular shift the digits of the integer x, shift the digits right by shift
    and return the result as a string.
    If shift > number of digits, return digits reversed.
    >>> circular_shift(12, 1)
    ""21""
    >>> circular_shift(12, 2)
    ""12""
    """"""

#END:PROMPT
#START:SOLUTION
    s = str(x)
    if shift > len(s):
        return s[::-1]
    else:
        return s[len(s) - shift:] + s[:len(s) - shift]

#END:SOLUTION
#START:TEST
def check(candidate):

    # Check some simple cases
    assert candidate(100, 2) == ""001""
    assert candidate(12, 2) == ""12""
    assert candidate(97, 8) == ""79""
    assert candidate(12, 1) == ""21"", ""This prints if this assert fails 1 (good for debugging!)""

    # Check some edge cases that are easy to work out by hand.
    assert candidate(11, 101) == ""11"", ""This prints if this assert fails 2 (also good for debugging!)""


#END:TEST
#START:CHECK
check(circular_shift)
#END:CHECK","// Circular shift the digits of the integer x, shift the digits right by shift
// and return the result as a string.
// If shift > number of digits, return digits reversed.
// shift 12 1 // ""21""
// shift 12 2 // ""12""
func shift:string x:num n:num
    str := sprint x
    result := """"
    if n > (len str)
        for c := range str
            result = c + result
        end
    else
        result = str[-n:] + str[:-n]
    end
    return result
end

func test
    assert ""1"" (shift 1 1)
    assert ""1"" (shift 1 3)
    assert ""0111"" (shift 1110 30)
    assert ""001"" (shift 100 2)
    assert ""12"" (shift 12 2)
    assert ""79"" (shift 97 8)
    assert ""21"" (shift 12 1)
    assert ""11"" (shift 11 101)
end

test
"
,HumanEval_7,,"// Filter an input list of strings only for ones that contain given substring
// filter [] ""a"" // []
// filter [""abc"" ""bacd"" ""cde"" ""array""] ""a""  // [""abc"" ""bacd"" ""array""]
func filter:[]string strings:[]string substring:string
    ans:[]string
    for str := range strings
        if (contains str substring)
            ans = ans + [str]
        end
    end
    return ans
end

func contains:bool haystack:string needle:string
    for i := range ((len haystack) - (len needle) + 1)
        if haystack[i:i + (len needle)] == needle
            return true
        end
    end
    return false
end

func test
    assert [] (filter [] ""john"")
    assert [""xxx"" ""xxxAAA"" ""xxx""] (filter [""xxx"" ""asd"" ""xxy"" ""john doe"" ""xxxAAA"" ""xxx""] ""xxx"")
    assert [""xxx"" ""aaaxxy"" ""xxxAAA"" ""xxx""] (filter [""xxx"" ""asd"" ""aaaxxy"" ""john doe"" ""xxxAAA"" ""xxx""] ""xx"")
    assert [""grunt"" ""prune""] (filter [""grunt"" ""trumpet"" ""prune"" ""gruesome""] ""run"")
end

test
","#START:PROMPT
from typing import List


def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    """""" Filter an input list of strings only for ones that contain given substring
    >>> filter_by_substring([], 'a')
    []
    >>> filter_by_substring(['abc', 'bacd', 'cde', 'array'], 'a')
    ['abc', 'bacd', 'array']
    """"""

#END:PROMPT
#START:SOLUTION
    return [x for x in strings if substring in x]

#END:SOLUTION
#START:TEST


METADATA = {
    'author': 'jt',
    'dataset': 'test'
}


def check(candidate):
    assert candidate([], 'john') == []
    assert candidate(['xxx', 'asd', 'xxy', 'john doe', 'xxxAAA', 'xxx'], 'xxx') == ['xxx', 'xxxAAA', 'xxx']
    assert candidate(['xxx', 'asd', 'aaaxxy', 'john doe', 'xxxAAA', 'xxx'], 'xx') == ['xxx', 'aaaxxy', 'xxxAAA', 'xxx']
    assert candidate(['grunt', 'trumpet', 'prune', 'gruesome'], 'run') == ['grunt', 'prune']

#END:TEST
#START:CHECK
check(filter_by_substring)
#END:CHECK","// Filter an input list of strings only for ones that contain given substring
// filter [] ""a"" // []
// filter [""abc"" ""bacd"" ""cde"" ""array""] ""a""  // [""abc"" ""bacd"" ""array""]
func filter:[]string strings:[]string substring:string
    ans:[]string
    for str := range strings
        if (contains str substring)
            ans = ans + [str]
        end
    end
    return ans
end

func contains:bool haystack:string needle:string
    for i := range ((len haystack) - (len needle) + 1)
        if haystack[i:i + (len needle)] == needle
            return true
        end
    end
    return false
end

func test
    assert [] (filter [] ""john"")
    assert [""xxx"" ""xxxAAA"" ""xxx""] (filter [""xxx"" ""asd"" ""xxy"" ""john doe"" ""xxxAAA"" ""xxx""] ""xxx"")
    assert [""xxx"" ""aaaxxy"" ""xxxAAA"" ""xxx""] (filter [""xxx"" ""asd"" ""aaaxxy"" ""john doe"" ""xxxAAA"" ""xxx""] ""xx"")
    assert [""grunt"" ""prune""] (filter [""grunt"" ""trumpet"" ""prune"" ""gruesome""] ""run"")
end

test
"
,HumanEval_140,,"// Given a string text, replace all spaces in it with underscores,
// and if a string has more than 2 consecutive spaces,
// then replace all consecutive spaces with -
// replaceSpaces ""Example"" // ""Example""
// replaceSpaces ""Example 1"" // ""Example_1""
// replaceSpaces "" Example 2"" // ""_Example_2""
// replaceSpaces "" Example   3"" // ""_Example-3""
func replaceSpaces:string s:string
    result := """"
    cnt := 0
    for c := range s
        if c == "" ""
            cnt = cnt + 1
        else
            result = result + (spaceString cnt) + c
            cnt = 0
        end
    end
    result = result + (spaceString cnt)
    return result
end

func spaceString:string n:num
    if n == 0
        return """"
    else if n == 1
        return ""_""
    else if n == 2
        return ""__""
    end
    return ""-""
end

func test
    assert ""Example"" (replaceSpaces ""Example"")
    assert ""Mudasir_Hanif_"" (replaceSpaces ""Mudasir Hanif "")
    assert ""Yellow_Yellow__Dirty__Fellow"" (replaceSpaces ""Yellow Yellow  Dirty  Fellow"")
    assert ""Exa-mple"" (replaceSpaces ""Exa   mple"")
    assert ""-Exa_1_2_2_mple"" (replaceSpaces ""   Exa 1 2 2 mple"")
end

test
","#START:PROMPT

def fix_spaces(text):
    """"""
    Given a string text, replace all spaces in it with underscores, 
    and if a string has more than 2 consecutive spaces, 
    then replace all consecutive spaces with - 
    
    fix_spaces(""Example"") == ""Example""
    fix_spaces(""Example 1"") == ""Example_1""
    fix_spaces("" Example 2"") == ""_Example_2""
    fix_spaces("" Example   3"") == ""_Example-3""
    """"""

#END:PROMPT
#START:SOLUTION
    new_text = """"
    i = 0
    start, end = 0, 0
    while i < len(text):
        if text[i] == "" "":
            end += 1
        else:
            if end - start > 2:
                new_text += ""-""+text[i]
            elif end - start > 0:
                new_text += ""_""*(end - start)+text[i]
            else:
                new_text += text[i]
            start, end = i+1, i+1
        i+=1
    if end - start > 2:
        new_text += ""-""
    elif end - start > 0:
        new_text += ""_""
    return new_text

#END:SOLUTION
#START:TEST
def check(candidate):

    # Check some simple cases
    assert candidate(""Example"") == ""Example"", ""This prints if this assert fails 1 (good for debugging!)""
    assert candidate(""Mudasir Hanif "") == ""Mudasir_Hanif_"", ""This prints if this assert fails 2 (good for debugging!)""
    assert candidate(""Yellow Yellow  Dirty  Fellow"") == ""Yellow_Yellow__Dirty__Fellow"", ""This prints if this assert fails 3 (good for debugging!)""
    
    # Check some edge cases that are easy to work out by hand.
    assert candidate(""Exa   mple"") == ""Exa-mple"", ""This prints if this assert fails 4 (good for debugging!)""
    assert candidate(""   Exa 1 2 2 mple"") == ""-Exa_1_2_2_mple"", ""This prints if this assert fails 4 (good for debugging!)""


#END:TEST
#START:CHECK
check(fix_spaces)
#END:CHECK","// Given a string text, replace all spaces in it with underscores,
// and if a string has more than 2 consecutive spaces,
// then replace all consecutive spaces with -
// replaceSpaces ""Example"" // ""Example""
// replaceSpaces ""Example 1"" // ""Example_1""
// replaceSpaces "" Example 2"" // ""_Example_2""
// replaceSpaces "" Example   3"" // ""_Example-3""
func replaceSpaces:string s:string
    result := """"
    cnt := 0
    for c := range s
        if c == "" ""
            cnt = cnt + 1
        else
            result = result + (spaceString cnt) + c
            cnt = 0
        end
    end
    result = result + (spaceString cnt)
    return result
end

func spaceString:string n:num
    if n == 0
        return """"
    else if n == 1
        return ""_""
    else if n == 2
        return ""__""
    end
    return ""-""
end

func test
    assert ""Example"" (replaceSpaces ""Example"")
    assert ""Mudasir_Hanif_"" (replaceSpaces ""Mudasir Hanif "")
    assert ""Yellow_Yellow__Dirty__Fellow"" (replaceSpaces ""Yellow Yellow  Dirty  Fellow"")
    assert ""Exa-mple"" (replaceSpaces ""Exa   mple"")
    assert ""-Exa_1_2_2_mple"" (replaceSpaces ""   Exa 1 2 2 mple"")
end

test
"
,HumanEval_53,,"// Add two numbers x and y
// add 2 3 // 5
// add 5 7 // 12
func add:num x:num y:num
    return x + y
end

func test
    assert 1 (add 0 1)
    assert 1 (add 1 0)
    assert 5 (add 2 3)
    assert 12 (add 5 7)
    assert 12 (add 7 5)
end

test
","#START:PROMPT


def add(x: int, y: int):
    """"""Add two numbers x and y
    >>> add(2, 3)
    5
    >>> add(5, 7)
    12
    """"""

#END:PROMPT
#START:SOLUTION
    return x + y

#END:SOLUTION
#START:TEST


METADATA = {}


def check(candidate):
    import random

    assert candidate(0, 1) == 1
    assert candidate(1, 0) == 1
    assert candidate(2, 3) == 5
    assert candidate(5, 7) == 12
    assert candidate(7, 5) == 12

    for i in range(100):
        x, y = random.randint(0, 1000), random.randint(0, 1000)
        assert candidate(x, y) == x + y


#END:TEST
#START:CHECK
check(add)
#END:CHECK","// Add two numbers x and y
// add 2 3 // 5
// add 5 7 // 12
func add:num x:num y:num
    return x + y
end

func test
    assert 1 (add 0 1)
    assert 1 (add 1 0)
    assert 5 (add 2 3)
    assert 12 (add 5 7)
    assert 12 (add 7 5)
end

test
"
,HumanEval_112,,"// We are given two strings s and c, you have to deleted all the characters in
// s that are equal to any character in c then check if the result string is
// palindrome. A string is called palindrome if it reads the same backward as
// forward. You should return a tuple containing the result string and
// true/false for the check.
// For s = ""abcde"", c = ""ae"", the result should be ('bcd',False)
// For s = ""abcdef"", c = ""b""  the result should be ('acdef',False)
// For s = ""abcdedcba"", c = ""ab"", the result should be ('cdedc',True)
func delete:[]any s:string d:string
    m := {}
    for c := range d
        m[c] = true
    end
    result := """"
    for c := range s
        if !(has m c)
            result = result + c
        end
    end
    for i := range (len result)/2
        if result[i] != result[-1 - i]
            return [result false]
        end
    end
    return [result true]
end

func test
    assert [""bcd"" false] (delete ""abcde"" ""ae"")
    assert [""acdef"" false] (delete ""abcdef"" ""b"")
    assert [""cdedc"" true] (delete ""abcdedcba"" ""ab"")
    assert [""dik"" false] (delete ""dwik"" ""w"")
    assert ["""" true] (delete ""a"" ""a"")
    assert [""abcdedcba"" true] (delete ""abcdedcba"" """")
    assert [""abcdedcba"" true] (delete ""abcdedcba"" ""v"")
    assert [""abba"" true] (delete ""vabba"" ""v"")
    assert ["""" true] (delete ""mamma"" ""mia"")
end

test
","#START:PROMPT

def reverse_delete(s,c):
    """"""Task
    We are given two strings s and c, you have to deleted all the characters in s that are equal to any character in c
    then check if the result string is palindrome.
    A string is called palindrome if it reads the same backward as forward.
    You should return a tuple containing the result string and True/False for the check.
    Example
    For s = ""abcde"", c = ""ae"", the result should be ('bcd',False)
    For s = ""abcdef"", c = ""b""  the result should be ('acdef',False)
    For s = ""abcdedcba"", c = ""ab"", the result should be ('cdedc',True)
    """"""

#END:PROMPT
#START:SOLUTION
    s = ''.join([char for char in s if char not in c])
    return (s,s[::-1] == s)

#END:SOLUTION
#START:TEST
def check(candidate):

    assert candidate(""abcde"",""ae"") == ('bcd',False)
    assert candidate(""abcdef"", ""b"") == ('acdef',False)
    assert candidate(""abcdedcba"",""ab"") == ('cdedc',True)
    assert candidate(""dwik"",""w"") == ('dik',False)
    assert candidate(""a"",""a"") == ('',True)
    assert candidate(""abcdedcba"","""") == ('abcdedcba',True)
    assert candidate(""abcdedcba"",""v"") == ('abcdedcba',True)
    assert candidate(""vabba"",""v"") == ('abba',True)
    assert candidate(""mamma"", ""mia"") == ("""", True)

#END:TEST
#START:CHECK
check(reverse_delete)
#END:CHECK","// We are given two strings s and c, you have to deleted all the characters in
// s that are equal to any character in c then check if the result string is
// palindrome. A string is called palindrome if it reads the same backward as
// forward. You should return a tuple containing the result string and
// true/false for the check.
// For s = ""abcde"", c = ""ae"", the result should be ('bcd',False)
// For s = ""abcdef"", c = ""b""  the result should be ('acdef',False)
// For s = ""abcdedcba"", c = ""ab"", the result should be ('cdedc',True)
func delete:[]any s:string d:string
    m := {}
    for c := range d
        m[c] = true
    end
    result := """"
    for c := range s
        if !(has m c)
            result = result + c
        end
    end
    for i := range (len result)/2
        if result[i] != result[-1 - i]
            return [result false]
        end
    end
    return [result true]
end

func test
    assert [""bcd"" false] (delete ""abcde"" ""ae"")
    assert [""acdef"" false] (delete ""abcdef"" ""b"")
    assert [""cdedc"" true] (delete ""abcdedcba"" ""ab"")
    assert [""dik"" false] (delete ""dwik"" ""w"")
    assert ["""" true] (delete ""a"" ""a"")
    assert [""abcdedcba"" true] (delete ""abcdedcba"" """")
    assert [""abcdedcba"" true] (delete ""abcdedcba"" ""v"")
    assert [""abba"" true] (delete ""vabba"" ""v"")
    assert ["""" true] (delete ""mamma"" ""mia"")
end

test
"
,HumanEval_14,,"// Return list of all prefixes from shortest to longest of the input string
// allPrefixes('abc')
// ['a', 'ab', 'abc']
func allPrefixes:[]string str:string
    result:[]string
    for i := range (len str)
        result = result + [str[:i + 1]]
    end
    return result
end

empty_string_array:[]string

func test
    assert empty_string_array (allPrefixes """")
    assert [""a"" ""as"" ""asd"" ""asdf"" ""asdfg"" ""asdfgh""] (allPrefixes ""asdfgh"")
    assert [""W"" ""WW"" ""WWW""] (allPrefixes ""WWW"")
end

test
","#START:PROMPT
from typing import List


def all_prefixes(string: str) -> List[str]:
    """""" Return list of all prefixes from shortest to longest of the input string
    >>> all_prefixes('abc')
    ['a', 'ab', 'abc']
    """"""

#END:PROMPT
#START:SOLUTION
    result = []

    for i in range(len(string)):
        result.append(string[:i+1])
    return result

#END:SOLUTION
#START:TEST


METADATA = {
    'author': 'jt',
    'dataset': 'test'
}


def check(candidate):
    assert candidate('') == []
    assert candidate('asdfgh') == ['a', 'as', 'asd', 'asdf', 'asdfg', 'asdfgh']
    assert candidate('WWW') == ['W', 'WW', 'WWW']

#END:TEST
#START:CHECK
check(all_prefixes)
#END:CHECK","// Return list of all prefixes from shortest to longest of the input string
// allPrefixes('abc')
// ['a', 'ab', 'abc']
func allPrefixes:[]string str:string
    result:[]string
    for i := range (len str)
        result = result + [str[:i + 1]]
    end
    return result
end

empty_string_array:[]string

func test
    assert empty_string_array (allPrefixes """")
    assert [""a"" ""as"" ""asd"" ""asdf"" ""asdfg"" ""asdfgh""] (allPrefixes ""asdfgh"")
    assert [""W"" ""WW"" ""WWW""] (allPrefixes ""WWW"")
end

test
"
,HumanEval_121,,"//  Given a non-empty list of integers, return the sum of all of the odd
//  elements that are in even positions.
//  Examples
//  solve [5 8 7 1] // 12
//  solve [3 3 3 3 3] // 9
//  solve [30 13 24 321] //0
func solve:num nums:[]num
    result := 0
    for i := range 0 (len nums) 2
        if nums[i] % 2 == 1
            result = result + nums[i]
        end
    end
    return result
end

func test
    assert 12 (solve [5 8 7 1])
    assert 9 (solve [3 3 3 3 3])
    assert 0 (solve [30 13 24 321])
    assert 5 (solve [5 9])
    assert 0 (solve [2 4 8])
    assert 23 (solve [30 13 23 32])
    assert 3 (solve [3 13 2 9])
end

test
","#START:PROMPT

def solution(lst):
    """"""Given a non-empty list of integers, return the sum of all of the odd elements that are in even positions.
    

    Examples
    solution([5, 8, 7, 1]) ==> 12
    solution([3, 3, 3, 3, 3]) ==> 9
    solution([30, 13, 24, 321]) ==>0
    """"""

#END:PROMPT
#START:SOLUTION
    return sum([x for idx, x in enumerate(lst) if idx%2==0 and x%2==1])

#END:SOLUTION
#START:TEST
def check(candidate):

    # Check some simple cases
    assert candidate([5, 8, 7, 1])    == 12
    assert candidate([3, 3, 3, 3, 3]) == 9
    assert candidate([30, 13, 24, 321]) == 0
    assert candidate([5, 9]) == 5
    assert candidate([2, 4, 8]) == 0
    assert candidate([30, 13, 23, 32]) == 23
    assert candidate([3, 13, 2, 9]) == 3

    # Check some edge cases that are easy to work out by hand.


#END:TEST
#START:CHECK
check(solution)
#END:CHECK","//  Given a non-empty list of integers, return the sum of all of the odd
//  elements that are in even positions.
//  Examples
//  solve [5 8 7 1] // 12
//  solve [3 3 3 3 3] // 9
//  solve [30 13 24 321] //0
func solve:num nums:[]num
    result := 0
    for i := range 0 (len nums) 2
        if nums[i] % 2 == 1
            result = result + nums[i]
        end
    end
    return result
end

func test
    assert 12 (solve [5 8 7 1])
    assert 9 (solve [3 3 3 3 3])
    assert 0 (solve [30 13 24 321])
    assert 5 (solve [5 9])
    assert 0 (solve [2 4 8])
    assert 23 (solve [30 13 23 32])
    assert 3 (solve [3 13 2 9])
end

test
"
,HumanEval_45,,"//""Given length of a side and high return area for a triangle.
//    >>> triangleArea(5, 3)
//    7.5
//    ""
func triangleArea:num s:num h:num
    return s * h / 2

end

func test
    assert 7.5 (triangleArea 5 3)
    assert 2 (triangleArea 2 2)
    assert 40 (triangleArea 10 8)
end

test
","#START:PROMPT


def triangle_area(a, h):
    """"""Given length of a side and high return area for a triangle.
    >>> triangle_area(5, 3)
    7.5
    """"""

#END:PROMPT
#START:SOLUTION
    return a * h / 2.0

#END:SOLUTION
#START:TEST


METADATA = {}


def check(candidate):
    assert candidate(5, 3) == 7.5
    assert candidate(2, 2) == 2.0
    assert candidate(10, 8) == 40.0


#END:TEST
#START:CHECK
check(triangle_area)
#END:CHECK","//""Given length of a side and high return area for a triangle.
//    >>> triangleArea(5, 3)
//    7.5
//    ""
func triangleArea:num s:num h:num
    return s * h / 2

end

func test
    assert 7.5 (triangleArea 5 3)
    assert 2 (triangleArea 2 2)
    assert 40 (triangleArea 10 8)
end

test
"
,HumanEval_85,,"//  Given a non-empty list of numbers add the even elements that are at odd indices.
//  add [4 2 6 7]  // 2
func add:num nums:[]num
    result := 0
    for i := range 1 (len nums) 2
        if nums[i] % 2 == 0
            result = result + nums[i]
        end
    end
    return result
end

func test
    assert 88 (add [4 88])
    assert 122 (add [4 5 6 7 2 122])
    assert 0 (add [4 0 6 7])
    assert 12 (add [4 4 6 8])
end

test

func assert want:any got:any
    total = total + 1
    if want == got
        return
    end
    wantType := (typeof want)[:2]
    gotType := (typeof got)[:2]
    if wantType == ""[]"" or wantType == ""{}"" and wantType == gotType and (len want) == 0 and (len got) == 0
        return
    end
    fails = fails + 1
    printf ""want != got:\n want: %v\n got:  %v\n"" want got
end

func printResult
    printf ""%2.f of %2.f tests passed\n"" (total - fails) total
end

test
printResult
","#START:PROMPT

def add(lst):
    """"""Given a non-empty list of integers lst. add the even elements that are at odd indices..


    Examples:
        add([4, 2, 6, 7]) ==> 2 
    """"""

#END:PROMPT
#START:SOLUTION
    return sum([lst[i] for i in range(1, len(lst), 2) if lst[i]%2 == 0])

#END:SOLUTION
#START:TEST
def check(candidate):

    # Check some simple cases
    assert candidate([4, 88]) == 88
    assert candidate([4, 5, 6, 7, 2, 122]) == 122
    assert candidate([4, 0, 6, 7]) == 0
    assert candidate([4, 4, 6, 8]) == 12

    # Check some edge cases that are easy to work out by hand.
    

#END:TEST
#START:CHECK
check(add)
#END:CHECK","//  Given a non-empty list of numbers add the even elements that are at odd indices.
//  add [4 2 6 7]  // 2
func add:num nums:[]num
    result := 0
    for i := range 1 (len nums) 2
        if nums[i] % 2 == 0
            result = result + nums[i]
        end
    end
    return result
end

func test
    assert 88 (add [4 88])
    assert 122 (add [4 5 6 7 2 122])
    assert 0 (add [4 0 6 7])
    assert 12 (add [4 4 6 8])
end

test

func assert want:any got:any
    total = total + 1
    if want == got
        return
    end
    wantType := (typeof want)[:2]
    gotType := (typeof got)[:2]
    if wantType == ""[]"" or wantType == ""{}"" and wantType == gotType and (len want) == 0 and (len got) == 0
        return
    end
    fails = fails + 1
    printf ""want != got:\n want: %v\n got:  %v\n"" want got
end

func printResult
    printf ""%2.f of %2.f tests passed\n"" (total - fails) total
end

test
printResult
"
,HumanEval_150,,"// A simple program which should return the value of x if n is
// a prime number and should return the value of y otherwise.
// Examples:
// for xIfPrime 7 34 12 // 34
// for xIfPrime 15 8 5 // 5
func xIfPrime:num n:num x:num y:num
    if n < 2
        return y
    end
    for i := range 2 n
        if n % i == 0
            return y
        end
    end
    return x
end

func test
    assert 34 (xIfPrime 7 34 12)
    assert 5 (xIfPrime 15 8 5)
    assert 33 (xIfPrime 3 33 5212)
    assert 3 (xIfPrime 1259 3 52)
    assert -1 (xIfPrime 7919 -1 12)
    assert 583 (xIfPrime 3609 1245 583)
    assert 129 (xIfPrime 91 56 129)
    assert 1234 (xIfPrime 6 34 1234)
    assert 0 (xIfPrime 1 2 0)
    assert 2 (xIfPrime 2 2 0)
end

test
","#START:PROMPT

def x_or_y(n, x, y):
    """"""A simple program which should return the value of x if n is 
    a prime number and should return the value of y otherwise.

    Examples:
    for x_or_y(7, 34, 12) == 34
    for x_or_y(15, 8, 5) == 5
    
    """"""

#END:PROMPT
#START:SOLUTION
    if n == 1:
        return y
    for i in range(2, n):
        if n % i == 0:
            return y
            break
    else:
        return x

#END:SOLUTION
#START:TEST
def check(candidate):

    # Check some simple cases
    assert candidate(7, 34, 12) == 34
    assert candidate(15, 8, 5) == 5
    assert candidate(3, 33, 5212) == 33
    assert candidate(1259, 3, 52) == 3
    assert candidate(7919, -1, 12) == -1
    assert candidate(3609, 1245, 583) == 583
    assert candidate(91, 56, 129) == 129
    assert candidate(6, 34, 1234) == 1234
    

    # Check some edge cases that are easy to work out by hand.
    assert candidate(1, 2, 0) == 0
    assert candidate(2, 2, 0) == 2


#END:TEST
#START:CHECK
check(x_or_y)
#END:CHECK","// A simple program which should return the value of x if n is
// a prime number and should return the value of y otherwise.
// Examples:
// for xIfPrime 7 34 12 // 34
// for xIfPrime 15 8 5 // 5
func xIfPrime:num n:num x:num y:num
    if n < 2
        return y
    end
    for i := range 2 n
        if n % i == 0
            return y
        end
    end
    return x
end

func test
    assert 34 (xIfPrime 7 34 12)
    assert 5 (xIfPrime 15 8 5)
    assert 33 (xIfPrime 3 33 5212)
    assert 3 (xIfPrime 1259 3 52)
    assert -1 (xIfPrime 7919 -1 12)
    assert 583 (xIfPrime 3609 1245 583)
    assert 129 (xIfPrime 91 56 129)
    assert 1234 (xIfPrime 6 34 1234)
    assert 0 (xIfPrime 1 2 0)
    assert 2 (xIfPrime 2 2 0)
end

test
"
,HumanEval_59,,"// Return the largest prime factor of n. Assume n > 1 and is not a prime.
// largestPrimeFactor 13195 // 29
// largestPrimeFactor 2048 // 2
func largestPrimeFactor:num n:num
    result := -1
    for i := range 2 n
        if n % i == 0 and (isPrime i)
            result = i
        end
    end
    return result
end

func isPrime:bool n:num
    if n < 2
        return false
    end
    for i := range 2 (sqrt n)+1
        if n % i == 0
            return false
        end
    end
    return true
end

func test
    assert 5 (largestPrimeFactor 15)
    assert 3 (largestPrimeFactor 27)
    assert 7 (largestPrimeFactor 63)
    assert 11 (largestPrimeFactor 330)
    assert 29 (largestPrimeFactor 13195)
end

test
","#START:PROMPT


def largest_prime_factor(n: int):
    """"""Return the largest prime factor of n. Assume n > 1 and is not a prime.
    >>> largest_prime_factor(13195)
    29
    >>> largest_prime_factor(2048)
    2
    """"""

#END:PROMPT
#START:SOLUTION
    def is_prime(k):
        if k < 2:
            return False
        for i in range(2, k - 1):
            if k % i == 0:
                return False
        return True
    largest = 1
    for j in range(2, n + 1):
        if n % j == 0 and is_prime(j):
            largest = max(largest, j)
    return largest

#END:SOLUTION
#START:TEST


METADATA = {}


def check(candidate):
    assert candidate(15) == 5
    assert candidate(27) == 3
    assert candidate(63) == 7
    assert candidate(330) == 11
    assert candidate(13195) == 29


#END:TEST
#START:CHECK
check(largest_prime_factor)
#END:CHECK","// Return the largest prime factor of n. Assume n > 1 and is not a prime.
// largestPrimeFactor 13195 // 29
// largestPrimeFactor 2048 // 2
func largestPrimeFactor:num n:num
    result := -1
    for i := range 2 n
        if n % i == 0 and (isPrime i)
            result = i
        end
    end
    return result
end

func isPrime:bool n:num
    if n < 2
        return false
    end
    for i := range 2 (sqrt n)+1
        if n % i == 0
            return false
        end
    end
    return true
end

func test
    assert 5 (largestPrimeFactor 15)
    assert 3 (largestPrimeFactor 27)
    assert 7 (largestPrimeFactor 63)
    assert 11 (largestPrimeFactor 330)
    assert 29 (largestPrimeFactor 13195)
end

test
"
,HumanEval_16,,"//  Given a string, find out how many distinct characters (regardless of case) does it consist of
//  countDistinctCharacters('xyzXYZ') // 3
//  countDistinctCharacters('Jerry') // 4
func countDistinctCharacters:num str:string
    set := {}
    for s := range str
        u := upper s
        set[u] = true
    end
    return len set
end

func test
    assert 0 (countDistinctCharacters """")
    assert 5 (countDistinctCharacters ""abcde"")
    assert 5 (countDistinctCharacters ""abcde""+""cade""+""CADE"")
    assert 1 (countDistinctCharacters ""aaaaAAAAaaaa"")
    assert 5 (countDistinctCharacters ""Jerry jERRY JeRRRY"")
end

test
","#START:PROMPT


def count_distinct_characters(string: str) -> int:
    """""" Given a string, find out how many distinct characters (regardless of case) does it consist of
    >>> count_distinct_characters('xyzXYZ')
    3
    >>> count_distinct_characters('Jerry')
    4
    """"""

#END:PROMPT
#START:SOLUTION
    return len(set(string.lower()))

#END:SOLUTION
#START:TEST


METADATA = {
    'author': 'jt',
    'dataset': 'test'
}


def check(candidate):
    assert candidate('') == 0
    assert candidate('abcde') == 5
    assert candidate('abcde' + 'cade' + 'CADE') == 5
    assert candidate('aaaaAAAAaaaa') == 1
    assert candidate('Jerry jERRY JeRRRY') == 5

#END:TEST
#START:CHECK
check(count_distinct_characters)
#END:CHECK","//  Given a string, find out how many distinct characters (regardless of case) does it consist of
//  countDistinctCharacters('xyzXYZ') // 3
//  countDistinctCharacters('Jerry') // 4
func countDistinctCharacters:num str:string
    set := {}
    for s := range str
        u := upper s
        set[u] = true
    end
    return len set
end

func test
    assert 0 (countDistinctCharacters """")
    assert 5 (countDistinctCharacters ""abcde"")
    assert 5 (countDistinctCharacters ""abcde""+""cade""+""CADE"")
    assert 1 (countDistinctCharacters ""aaaaAAAAaaaa"")
    assert 5 (countDistinctCharacters ""Jerry jERRY JeRRRY"")
end

test
"
